CITIZEN,IS_CITIZEN,Source
N/A,TRUE,ACS
Born abroad of American parents,TRUE,ACS
Naturalized citizen,TRUE,ACS
Not a citizen,FALSE,ACS
"Not a citizen, but has received first papers",FALSE,ACS
"Foreign born, citizenship status not reported",FALSE,ACS
Born in U.S,TRUE,CPS
Born in U.S. outlying,TRUE,CPS
Born abroad of American parents,TRUE,CPS
Naturalized citizen,TRUE,CPS
Not a citizen,FALSE,CPS
NIU,FALSE,CPS
