MOVEDIN,HOME_TENURE,HOME_TENURE_MIN,HOME_TENURE_MAX
0,NA,NA,
1,12 months or less,0.1,1
2,Ê13 to 23 months ago,1,2
3,Ê2 to 4 years ago,2,4
4,Ê5 to 9 years ago,5,9
5,10 to 19 years ago,10,19
6,20 to 29 years ago,20,29
7,30+ years ago,30,50
