BPL,BORN_US,Source
Serbia,F,CPS
Sierra Leone,F,CPS
Slovakia,F,CPS
Somalia,F,CPS
South Africa (Union of),F,CPS
"South America, n.s",F,CPS
South Korea,F,CPS
Sri Lanka,F,CPS
St. Kitts--Nevis,F,CPS
St. Lucia,F,CPS
St. Vincent and the Grenadi,F,CPS
Sudan,F,CPS
Taiwan,F,CPS
Tanzania,F,CPS
Togo,F,CPS
Tonga,F,CPS
Trinidad and Tobago,F,CPS
"U.S. outlying areas, n.s",F,CPS
Uganda,F,CPS
Ukraine,F,CPS
United Arab Emirates,F,CPS
"United Kingdom, n.s",F,CPS
Uruguay,F,CPS
"USSR, n.s",F,CPS
Uzbekistan,F,CPS
Venezuela,F,CPS
Wales,F,CPS
Yemen,F,CPS
Zaire,F,CPS
Zambia,F,CPS
Zimbabwe,F,CPS
Georgia,F,CPS
"Other, n.e.c. and unknown",F,CPS
"Americas, n.s",F,CPS
